
Iterations = 70275:80250
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 400 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[105] 1.870e-04 1.870e-04 1.870e-04 1.870e-04 1.870e-04
hr[106] 2.078e-05 2.078e-05 2.078e-05 2.078e-05 2.078e-05
hr[107] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[108] 3.010e-04 3.010e-04 3.010e-04 3.010e-04 3.010e-04
hr[109] 1.653e-02 1.653e-02 1.653e-02 1.653e-02 1.653e-02
hr[110] 5.742e-03 5.742e-03 5.742e-03 5.742e-03 5.742e-03
hr[111] 4.034e-05 4.081e-05 4.179e-05 4.201e-05 4.297e-05
hr[112] 6.140e-04 6.234e-04 6.529e-04 6.622e-04 6.948e-04
hr[113] 1.008e-06 1.050e-06 1.077e-06 1.169e-06 1.221e-06
hr[114] 4.143e-07 4.181e-07 4.194e-07 4.286e-07 4.331e-07
hr[115] 1.508e-06 1.514e-06 1.591e-06 1.626e-06 1.654e-06
hr[116] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[117] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[118] 3.716e-05 3.716e-05 3.716e-05 3.716e-05 3.716e-05
hr[119] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[120] 6.098e-04 6.098e-04 6.098e-04 6.098e-04 6.098e-04
hr[121] 1.173e-04 1.173e-04 1.173e-04 1.173e-04 1.173e-04
hr[122] 7.692e-04 7.692e-04 7.692e-04 7.692e-04 7.692e-04
hr[123] 1.651e-03 1.651e-03 1.651e-03 1.651e-03 1.651e-03
hr[124] 1.030e-04 1.030e-04 1.030e-04 1.030e-04 1.030e-04
hr[125] 6.377e-04 6.377e-04 6.377e-04 6.377e-04 6.377e-04
hr[126] 6.363e-05 6.363e-05 6.363e-05 6.363e-05 6.363e-05
hr[127] 1.870e-04 1.870e-04 1.870e-04 1.870e-04 1.870e-04
hr[128] 2.078e-05 2.078e-05 2.078e-05 2.078e-05 2.078e-05
hr[129] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[130] 3.010e-04 3.010e-04 3.010e-04 3.010e-04 3.010e-04
hr[131] 1.653e-02 1.653e-02 1.653e-02 1.653e-02 1.653e-02
hr[132] 5.742e-03 5.742e-03 5.742e-03 5.742e-03 5.742e-03
hr[133] 3.974e-05 4.004e-05 4.079e-05 4.209e-05 4.443e-05
hr[134] 5.725e-04 5.822e-04 6.153e-04 7.702e-04 8.106e-04
hr[135] 2.378e-03 2.378e-03 2.378e-03 2.378e-03 2.378e-03
hr[136] 7.128e-03 7.128e-03 7.128e-03 7.128e-03 7.128e-03
hr[137] 3.265e-03 3.265e-03 3.265e-03 3.265e-03 3.265e-03
hr[138] 5.169e-03 5.169e-03 5.169e-03 5.169e-03 5.169e-03
hr[139] 5.000e-03 5.000e-03 5.000e-03 5.000e-03 5.000e-03
hr[140] 2.362e-03 2.362e-03 2.362e-03 2.362e-03 2.362e-03
hr[141] 9.939e-03 9.939e-03 9.939e-03 9.939e-03 9.939e-03
hr[142] 1.163e-03 1.163e-03 1.163e-03 1.163e-03 1.163e-03
hr[143] 3.452e-03 3.452e-03 3.452e-03 3.452e-03 3.452e-03
hr[144] 1.292e-03 1.292e-03 1.292e-03 1.292e-03 1.292e-03
